Time [s]	Power (aero) [k W]	Torque (aero) [k Nm]	Thrust (aero) [k N]	RPM [rpm]	TSR []	Representative demanded pitch angle [°]	Power coef. (CP) [%]	Thrust coef. (CT) [%]	Torque coef. (CQ) [%]	Tip speed [m/s]	1P (one revolution) [s]	nP (blade passing) [s]	Azimuth angle [°]	Rotation per timestep [°]	Wind speed at hub, magnitude [m/s]	Wind speed at hub.x [m/s]	Wind speed at hub.y [m/s]	Wind speed at hub.z [m/s]	Turbulence at hub (local).x [m/s]	Turbulence at hub (local).y [m/s]	Turbulence at hub (local).z [m/s]	Wind angle at hub [°]	Yaw angle relative to forward [°]	Yaw angle to reference direction [°]	Yaw error [°]	Torque about yaw axis [Nm]
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
Min	0 [0s]	0 [0s]	770.396 [0s]	6.87549 [0s]	8.01754 [0.3s]	0 [0s]	0 [0s]	82.8846 [1.8s]	0 [0s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	0 [0s]	12.3759 [0s]	6.32 [0s]	0 [0s]	-8 [0.3s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	-638362 [2.4s]
Max	3563.94 [259.2s]	4949.92 [259.2s]	814.751 [259.2s]	6.87549 [0s]	10.1488 [0s]	0 [0s]	45.5834 [259.2s]	126.307 [0s]	5.68546 [259.2s]	64.1403 [0s]	8.72665 [0s]	2.90888 [0s]	359.747 [297s]	12.3759 [0s]	8 [0.3s]	0 [0s]	-6.32 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	0 [0s]	296420 [6.9s]
Mean	3544.15	4922.43	812.568	6.87549	8.01966	0	45.3303	83.1904	5.65389	64.1403	8.72665	2.90888	178.502	12.3759	7.99833	0	-7.99833	0	0	0	0	0	0	0	0	-151577
Standard deviation	112.621	156.418	2.03476	nan	0.067295	0	1.44044	1.37183	0.179661	nan	1.89781e-06	nan	104.226	nan	0.0530468	0	0.0530468	0	0	0	0	0	0	0	0	256401
----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------	----------
15.6	3546.11	4925.15	812.446	6.87549	8.01754	0	45.3553	83.1307	5.65702	64.1403	8.72665	2.90888	271.17	12.3759	8	0	-8	0	0	0	0	0	0	0	0	259543
15.9	3536.38	4911.65	811.123	6.87549	8.01754	0	45.231	82.9953	5.64151	64.1403	8.72665	2.90888	283.546	12.3759	8	0	-8	0	0	0	0	0	0	0	0	173979
16.2	3530.84	4903.95	810.355	6.87549	8.01754	0	45.1601	82.9166	5.63266	64.1403	8.72665	2.90888	295.922	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-31803.4
16.5	3532.16	4905.79	810.507	6.87549	8.01754	0	45.177	82.9322	5.63477	64.1403	8.72665	2.90888	308.298	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-272336
16.8	3539.81	4916.41	811.509	6.87549	8.01754	0	45.2748	83.0348	5.64697	64.1403	8.72665	2.90888	320.674	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-445149
17.1	3550.33	4931.01	812.899	6.87549	8.01754	0	45.4093	83.177	5.66375	64.1403	8.72665	2.90888	333.049	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-482609
17.4	3559.35	4943.54	814.087	6.87549	8.01754	0	45.5247	83.2986	5.67814	64.1403	8.72665	2.90888	345.425	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-379279
17.7	3563.56	4949.39	814.645	6.87549	8.01754	0	45.5786	83.3556	5.68486	64.1403	8.72665	2.90888	357.801	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-183251
18	3561.64	4946.72	814.397	6.87549	8.01754	0	45.554	83.3303	5.68179	64.1403	8.72665	2.90888	10.177	12.3759	8	0	-8	0	0	0	0	0	0	0	0	26509.1
18.3	3554.2	4936.39	813.423	6.87549	8.01754	0	45.4589	83.2306	5.66993	64.1403	8.72665	2.90888	22.5529	12.3759	8	0	-8	0	0	0	0	0	0	0	0	166620
18.6	3543.82	4921.98	812.053	6.87549	8.01754	0	45.3261	83.0905	5.65338	64.1403	8.72665	2.90888	34.9288	12.3759	8	0	-8	0	0	0	0	0	0	0	0	176984
18.9	3534.62	4909.2	810.832	6.87549	8.01754	0	45.2085	82.9654	5.6387	64.1403	8.72665	2.90888	47.3047	12.3759	8	0	-8	0	0	0	0	0	0	0	0	43769.1
19.2	3530.69	4903.73	810.309	6.87549	8.01754	0	45.1581	82.912	5.63242	64.1403	8.72665	2.90888	59.6806	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-184430
19.5	3533.8	4908.06	810.734	6.87549	8.01754	0	45.198	82.9555	5.63739	64.1403	8.72665	2.90888	72.0564	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-411844
19.8	3542.47	4920.09	811.904	6.87549	8.01754	0	45.3088	83.0752	5.65121	64.1403	8.72665	2.90888	84.4323	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-541829
20.1	3552.71	4934.32	813.287	6.87549	8.01754	0	45.4398	83.2167	5.66755	64.1403	8.72665	2.90888	96.8082	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-524927
20.4	3560.27	4944.82	814.313	6.87549	8.01754	0	45.5365	83.3216	5.67961	64.1403	8.72665	2.90888	109.184	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-374842
20.7	3562.45	4947.86	814.631	6.87549	8.01754	0	45.5644	83.3543	5.68309	64.1403	8.72665	2.90888	121.56	12.3759	8	0	-8	0	0	0	0	0	0	0	0	-152238
21	3558.51	4942.38	814.144	6.87549	8.01754	0	45.514	83.3043	5.67681	64.1403	8.72665	2.90888	133.936	12.3759	8	0	-8	0	0	0	0	0	0	0	0	59118.1
21.3	3549.69	4930.12	813.007	6.87549	8.01754	0	45.4011	83.1881	5.66273	64.1403	8.72665	2.90888	146.312	12.3759	8	0	-8	0	0	0	0	0	0	0	0	179377
21.6	3539.1	4915.42	811.621	6.87549	8.01754	0	45.2657	83.0462	5.64584	64.1403	8.72665	2.90888	158.688	12.3759	8	0	-8	0	0	0	0	0	0	0	0	159681
21.9	3531.12	4904.33	810.563	6.87549	8.01754	0	45.1636	82.938	5.6331	64.1403	8.72665	2.90888	171.064	12.3759	8	0	-8	0	0	0	0	0	0	0	0	3750.81
